,area,title,id,description,requirements
0,מרכז,Senior JAVA Developer,378489,"לחברת הייטק ותיקה נסחרת בנסד""ק בתחום המוליכים למחצה דרוש/ה מהנדס/ת JAVA מנוסה",
1,מרכז,Software Engineer,378484,"לסטארט אפ מצליח הנמצא תחת תאגיד גלובאלי מצליח בתחום התקשורת, דרוש/ה מהנדס/ת תוכנה עם אוריינטציה לDevOps 50% DevOps - השאר פיתוח Backend","תואר מאוניברסיטה מוכרת או ממכלה מובילה  - חובה 1-3 שנות ניסיון בפיתוח שפות: Python, NodeJS, Bash- עדיפות ל- Node חובה ידע בטכנולוגיות Cloud  עדיפות AWS  1-2 שנים ניסיון בDevOps  - חובה  1-2 שנות ניסיון פיתוח backend  ניסיון פיתוח בסביבת Linux- עדיפות ל- Centos - חובה ידע ב-Databased: יתרון ל- Mongo ו- MySQL ידע בתקשורת - יתרון "
2,מרכז,מוביל/ת תחום פיננסי במערכות מידע,378260,"לרכבת ישראל, חברה ממשלתית שמטרתה לספק אלטרנטיבה נוחה ומהירה לתחבורה בכבישים, ובכך להקל את ההגעה לכל רחבי הארץ ולקצר את המרחקים בין הפריפריה למרכזי התעסוקה והתרבות – וזאת תוך שמירה על איכות הסביבה ומניעת תאונות דרכים.   אחראי/ת על מערכות מידע פיננסיות (במערכת SAP) ויישום המודולים שבאחריותו/ה .       התפקיד כולל: ","טכנאי/ת או הנדסאי/ת או תואר ראשון • הכשרות מקצועיות בתחום יישום מערכות מידע פיננסיות- יתרון • לפחות שנתיים ניסיון במערכת ה - SAP בפיתוח פתרונות בתחום הפיננסי במודולים: FI, CO , FM  RE, PS • ניסיון באפיון תהליכים ודרישות, ניתוח מערכות, הבנת צרכי הלקוח • ניסיון בכתיבת מסמכי אפיון • ניסיון בתפקיד מוביל צוות בשני פרויקטים לפחות- יתרון • ניסיון בניהול עובדים- יתרון • הכרות עם התחומים: תהליכים עסקיים פיננסיים, ניהול תאגידי, ניהול סיכונים פיננסים, מניעת הונאות • כושר ביטוי בכתב ובע""פ בשפה האנגלית- ברמה טובה   המשרה פונה לנשים ולגברים כאחד. רק פניות מתאימות תענינה מועד אחרון להגשה 18.6.2020"
3,מרכז,MA Team Leader/Engineering Team Leader,377749,,"ניסיון כר""צ אוטומציה. ניסיון עם JS\Type Script\ Node.js. ניסיון עם Selenium \Appium\Jmeter"
4,מרכז,Full Stack Developer ,377894,,
5,מרכז,Senior Data Scientist,378477,תפקיד המשלב מחקר (יצירה והטמעה של מודלים של Deep Learning ו Big data ) וכתיבת קוד לפרודקשן - תפקיד חלומי!!!    עבור חברה הממוקמת מול היכל נוקיה בתל אביב ,• תואר שני או דוקטורט במדעי המחשב / סטטיסטיקה / מתמטיקה / פיזיקה- חובה !!!• ניסיון רב ב Python / R• ניסיון בעבודה עם BIG DATA.
6,מרכז,Principal Engineer - Hands on Architect - 378085 - SAPIENS,378085,,ניסיון קודם כארכיטקט/Principal Engineer. ניסיון משמעותי ב-NODE.JS+ React. ניסיון ב-VUE.JS.
7,מרכז,Back-end Team Lead\architect,378093,,
8,מרכז,Senior Android Developer,377835,,
9,מרכז,Fullstack and Web UI team leader,377923,,לפחות שנתיים ניסיון בתפקידי הובלה טכנולוגית / ניהול ניסיון משמעותי בפיתוח Web  ניסיון עם TypeScript ניסיון עם VueJS/React ניסיון בפיתוח Backend (יתרון ל-Java) אנגלית ברמה גבוהה   יתרון: ניסיון עם Web Services ו-Microservices
10,מרכז,FRONT END,378441,,"4+ ש""נ בפיתוח PUREJS - חובה יתרון לניסיון ב- BACKEND (לא משנה השפה) "
11,מרכז,מפתח/ת Beckend,346091,לחברת סטארט אפ מדהימה בתל אביב המפתחת פתרון תוכנה ארגונית עבור מותגי אופנה תוך שימוש באלגוריתמים מתקדמים דרוש/ה Backend Developer.,ניסיון של שנה/שנתיים ב node.js  - חובה עבודה עם MongoDB- יתרון עבדו בסטארטאפים - יתרון עבדו בעולם eCommerce - יתרון
12,מרכז,Web Developer,377394,לחברה המפתחת מוצר BIG DATA דרוש/ה: Web Developer,
13,מרכז,Backend Developer,378007,לחברת START UP בינלאומית בתחום ה-E COMMERCE דרוש/ה: Backend Developer,"לפחות 5 ש""נ בפיתוח תוכנה. לפחות 2 ש""נ בפיתוח NODE.JSניסיון מחברת SU- יתרון. "
14,מרכז,Senior Backend Developer,378401,לחברת אבטחת מידע מובילה דרוש/ה: Senior Backend Developer,
15,מרכז,Full Stack Team Leader,378061,"לחברה בתחום ה-FOREX דרוש/ה: FULL STACK TEAM LEADER.תפקיד הכולל ניהול של 4 עובדים, HO 70%. התפקיד כולל DESIGN וארכיטקטורה מSKRETCH. פיתוח עם אוריינטציה לצד ה-CLIENT (70%) ב-REACT ו-ANGULAR","לפחות 1 ש""נ ניהולי\ניסיון בהובלה טכנולוגית לפחות 3 ש""נ בפיתוח לצד ה-CLIENT תוך שימוש ב-REACT\ANGULAR\JS. ניסיון\ידע בפיתוח C#\NODE.JS. ניסיון בעבודה מול DATABASE (MSSQL, NOSQL).ניסיון בפיתוח ל-IOS\ANDROIS- יתרון.ניסיון קודם בעולמות FINANCE\ONLINE\GAMING- יתרון.  "
16,מרכז,Senior BackEnd Developer,378396,לחברת אבטחת מידע מובילה דרוש/ה: Senior BackEnd Developer,
17,מרכז,Fullstack Web Developer,378033,חברה בתחום ה-CYBER הממוקמת בתל אביב מחפשת אחר Fullstack Web Developer פיתוח C/S בחלוקה שווה.,"לפחות 2 ש""נ בפיתוח NODE.JSניסיון עם ANGULARניסיון עם MONGO DB או SQL."
18,מרכז,SOFTWARE ENGINEER,375340,"לחברת START UP מבטיחה המפתחת פלטפורמה לניהול הרשאות משתמש ואבטחה בענן. לחברה לקוחות קיימים בארץ ובחו""ל דרוש/ה: SOFTWARE ENGINEER לפיתוח בשפת C# ו-.NET CORE","לפחות 4 ש""נ בפיתוח תוכנהניסיון בפיתוח GO/C#/.NET CORE/JAVA/RUST/PYTHONניסיון עם טכנ' CLOUD- יתרון משמעותי (עדיפות לAWS/AZURE).ניסיון בעבודה עם מערכות מבוזרות/MICRO SERVICES- יתרון משמעותי"
19,מרכז,VP R&D ,374527,"לסטארט גלובאלי מצליח בתחום הסייבר, הנמצא תחת תאגיד אמריקאי, ממוקם בת""א קו רכבת, דרוש/ה VP R&D ת/יהיה חלק מההנהלה. דיווח ל- CTO בישראל. ת/ינהל כ 50 עובדים בארץ ובחו""ל, בניהם ראשי צוותים.","ניסיון בניהול והובלת קבוצת פיתוח גדולה של לפחות 40 עובדים ומעלה - חובה ניסיון בניהול מוצרי cyber security- יתרון משמעותי !! ניסיון בהובלת פרוייקטים של מוצרים מורכבים ניסיון בטכנולוגיות: JAVASCRIPT, NODE.JS, MICRO-SERVICE -  יתרון משמעותי רקע קודם עם פלטפורמות cloud כגוןAmazon Web Services   או Microsoft Azur - יתרון ניסיון עם Linux, Networking - יתרון"
20,מרכז,EXPERIENCED SW ARCHITECT,374484,"לסטארט אפ גלובאלי מצליח בתחום הסייבר הנמצא תחת תאגיד אמריקאי, וממוקם בת""א קו רכבת, דרוש/ה EXPERIENCED SW ARCHITECT ארכיטקט/ית תוכנה עם התמחות ב cloud ו- micro-services","תואר ראשון במדעי המחשב/ הנדסת תוכנה/ רלוונטי אחר- חובה ניסיון בעיצוב ובניית ארכיטקטורה- חובה! - ניסיון כארכיטקט/ית או לחילופין לפחות 7 ש""נ כמפתח/ת שהתנסה/תה בהיבטי ארכיטקטורה/ראייה מערכתית! ניסיון עם cloud - חובה ! ניסיון עם microservices - חובה! התמחות ב- JAVA SCRIPT - חובה !  ניסיון עם Angular - יתרון משמעותי!! ניסיון עם NODE.JS - חובה ! ניסיון מתחום הסייבר - יתרון משמעותי !!!!! ניסיון עם  Node.js, Angular, Bootstrap וכדומה ניסיון עם microservices ניסיון עם cloud , עדיפות ל Azure"
21,מרכז,"SW DEVELOPER, CYBER",376102,"לסטארט אפ גלובאלי מצליח בתחום הסייבר, הנמצא תחת תאגיד אמרקיאי, ונמצא בת""א קו רכבץ, דרוש/ה מפתח  Python",עדיפות ליוצאי יחידות טכנולוגיות בתחום הסייבר / או יוצאי חברות סייבר ניסיון ב- Javascript וגם Python ידע ב Cyber Security ידע ב networking הבנת Open API ו Rest API  
22,מרכז,Junior Integration Manager,378373,"לחברת הייטק מצליחה מאוד ויציבה כלכלית בתל אביב דרוש/ה Junior Integration Manager: פיתוח בJavaScript, HTML, CSS",
23,מרכז,Junior Integration Manager,378371,"לחברה הייטק מצליחה ומבוססת כלכלית בתל אביב דרוש/ה Junior Integration Manager: פיתוח לצד הCLIENT בJavaScript, HTML, CSS",
24,שרון,מנהל/ת מפתח/ת מערכת PRIORITY,378424,לחברה העוסקת בפיתוח וייצור ספקי כוח ייחודיים לשוק הצבאי ותעופתי דרוש/ה: מנהל/ת מפתח/ת מערכת PRIORITY  ,"1.      הכרת מערכת ERP PRIORITY ברמת יישום עם התמחות בתפעול וידע בכספים. 2.      ידע וניסיון באדמיניסטרצית המערכת. 3.      ניסיון וידע בהגדרת דוחות, כתיבת שאילתות ב- SQL וטיפול במסכים. 4.      ניסיון של 5 שנים לפחות ביישום ובתמיכת משתמשים. 5.      ניסיון בתמיכה בפריוריטי בחברה יצרנית – יתרון. 6.      יכולת תכנות בפריוריטי - חובה. 7.      ניסיון בהגדרה של תהליכי ייצור פנים ארגוניים וחיצוניים – יתרון. 8.      שליטה באנגלית ברמת כתיבה, קריאה ושיחה עם משתמשים. 9.      הכרות עם מערכות CRM ו- PLM  – יתרון.  "
